Unnamed: 0,Zone,State,City,Name,Type,year,time_required,G_rating,fee,Significance,reviews,Place_img,Place_img_1,Place_img_2,Place_img_3,Place_img_4
0,Northern,Delhi,Delhi,India Gate,,1921,0.5,4.6,0,Historical,2.6,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzNTQ4NDgwfDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861144854-d36549328276?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861144478-40b4c1157a24?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861143528-beeb8df36bbc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1080
1,Northern,Delhi,Delhi,Humayun's Tomb,,1572,2,4.5,30,Historical,0.4,https://images.unsplash.com/photo-1646938691456-a03d01a8276a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxIdW1heXVuJTI3cyUyMFRvbWJ8ZW58MHx8fHwxNzIzNTQ4NDg0fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1081,https://images.unsplash.com/photo-1505465333319-34d8c57b3869?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxIdW1heXVuJTI3cyUyMFRvbWJ8ZW58MHx8fHwxNzIzODAzMDM4fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1685886349228-7f7f7ebf68db?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxIdW1heXVuJTI3cyUyMFRvbWJ8ZW58MHx8fHwxNzIzODAzMDM4fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1646938684197-3c14fe0ccafc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxIdW1heXVuJTI3cyUyMFRvbWJ8ZW58MHx8fHwxNzIzODAzMDM4fDA&ixlib=rb-4.0.3&q=80&w=1080
2,Northern,Delhi,Delhi,Akshardham Temple,,2005,5,4.6,60,Religious,0.4,https://images.unsplash.com/photo-1671137777317-877064fb882d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxBa3NoYXJkaGFtJTIwVGVtcGxlfGVufDB8fHx8MTcyMzU0ODQ4N3ww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1082,https://images.unsplash.com/photo-1677933001473-538ea5ffa19a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxBa3NoYXJkaGFtJTIwVGVtcGxlfGVufDB8fHx8MTcyMzgwMzA0Mnww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxBa3NoYXJkaGFtJTIwVGVtcGxlfGVufDB8fHx8MTcyMzgwMzA0Mnww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1602772576452-2728cd3bca17?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxBa3NoYXJkaGFtJTIwVGVtcGxlfGVufDB8fHx8MTcyMzgwMzA0Mnww&ixlib=rb-4.0.3&q=80&w=1080
3,Northern,Delhi,Delhi,Waste to Wonder Park,,2019,2,4.1,50,Environmental,0.27,https://images.unsplash.com/photo-1686052903991-fedc0903ad4d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxXYXN0ZSUyMHRvJTIwV29uZGVyJTIwUGFya3xlbnwwfHx8fDE3MjM1NDg0OTF8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1083,https://images.unsplash.com/photo-1564409972016-2825589beaed?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxXYXN0ZSUyMHRvJTIwV29uZGVyJTIwUGFya3xlbnwwfHx8fDE3MjM4MDMwNDV8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1622050956578-94fd044a0ada?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxXYXN0ZSUyMHRvJTIwV29uZGVyJTIwUGFya3xlbnwwfHx8fDE3MjM4MDMwNDV8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1686050614530-18eb5fbd40c4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxXYXN0ZSUyMHRvJTIwV29uZGVyJTIwUGFya3xlbnwwfHx8fDE3MjM4MDMwNDV8MA&ixlib=rb-4.0.3&q=80&w=1080
4,Northern,Delhi,Delhi,Jantar Mantar,,1724,2,4.2,15,Scientific,0.31,https://images.unsplash.com/photo-1630042924275-ac0a9c2b0c8d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxKYW50YXIlMjBNYW50YXJ8ZW58MHx8fHwxNzIzNTQ4NDk0fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1084,https://images.unsplash.com/photo-1630042924253-057e8bc9cdca?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxKYW50YXIlMjBNYW50YXJ8ZW58MHx8fHwxNzIzODAzMDQ5fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1702818797690-3770f193278e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxKYW50YXIlMjBNYW50YXJ8ZW58MHx8fHwxNzIzODAzMDQ5fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1692380086937-aa22439bd040?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxKYW50YXIlMjBNYW50YXJ8ZW58MHx8fHwxNzIzODAzMDQ5fDA&ixlib=rb-4.0.3&q=80&w=1080
5,Northern,Delhi,Delhi,Chandni Chowk,,1700,3,4.2,0,Market,0.25,https://images.unsplash.com/photo-1662101875545-0b0cb8b7795b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxDaGFuZG5pJTIwQ2hvd2t8ZW58MHx8fHwxNzIzNTQ4NDk3fDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1085,https://images.unsplash.com/photo-1598328195371-16d7ba4df37f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxDaGFuZG5pJTIwQ2hvd2t8ZW58MHx8fHwxNzIzODAzMDUyfDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1599230080795-a48439229cb7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxDaGFuZG5pJTIwQ2hvd2t8ZW58MHx8fHwxNzIzODAzMDUyfDA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1662102073441-5d0a40a157e8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxDaGFuZG5pJTIwQ2hvd2t8ZW58MHx8fHwxNzIzODAzMDUyfDA&ixlib=rb-4.0.3&q=80&w=1080
6,Northern,Delhi,Delhi,Lotus Temple,,1986,1,4.5,0,Religious,0.59,https://images.unsplash.com/photo-1705384766432-d77804736822?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxMb3R1cyUyMFRlbXBsZXxlbnwwfHx8fDE3MjM1NDg1MDF8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1086,https://images.unsplash.com/photo-1710288701216-27bfe09e1d54?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxMb3R1cyUyMFRlbXBsZXxlbnwwfHx8fDE3MjM4MDMwNTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1582450724147-0ee17201a14c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxMb3R1cyUyMFRlbXBsZXxlbnwwfHx8fDE3MjM4MDMwNTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1607960346367-8ef3b7a108e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxMb3R1cyUyMFRlbXBsZXxlbnwwfHx8fDE3MjM4MDMwNTZ8MA&ixlib=rb-4.0.3&q=80&w=1080
7,Northern,Delhi,Delhi,Red Fort,,1648,2,4.5,35,Historical,1.5,https://images.unsplash.com/photo-1705861144413-f02e38354648?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxSZWQlMjBGb3J0fGVufDB8fHx8MTcyMzU0ODUwNHww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1087,https://images.unsplash.com/photo-1705861144426-2c6d65475983?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxSZWQlMjBGb3J0fGVufDB8fHx8MTcyMzgwMzA1OXww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861144350-20d4fa0200e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxSZWQlMjBGb3J0fGVufDB8fHx8MTcyMzgwMzA1OXww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1578673659715-83b02ea78f21?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxSZWQlMjBGb3J0fGVufDB8fHx8MTcyMzgwMzA1OXww&ixlib=rb-4.0.3&q=80&w=1080
8,Northern,Delhi,Delhi,Agrasen ki Baoli,,1400,1,4.2,0,Historical,0.41,https://images.unsplash.com/photo-1642960058891-cadf4c509161?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxBZ3Jhc2VuJTIwa2klMjBCYW9saXxlbnwwfHx8fDE3MjM1NDg1MDh8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1088,https://images.unsplash.com/photo-1647005458068-8f7aea7b400e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxBZ3Jhc2VuJTIwa2klMjBCYW9saXxlbnwwfHx8fDE3MjM4MDMwNjJ8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1672751214449-14f3a849cd97?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxBZ3Jhc2VuJTIwa2klMjBCYW9saXxlbnwwfHx8fDE3MjM4MDMwNjJ8MA&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1674822931086-e45ef563f833?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxBZ3Jhc2VuJTIwa2klMjBCYW9saXxlbnwwfHx8fDE3MjM4MDMwNjJ8MA&ixlib=rb-4.0.3&q=80&w=1080
9,Northern,Delhi,Delhi,Sunder Nursery,,1600,2,4.6,0,Botanical,0.16,https://images.unsplash.com/photo-1710743786016-17a934454432?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxTdW5kZXIlMjBOdXJzZXJ5fGVufDB8fHx8MTcyMzU0ODUxMnww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1705861146215-893c716481e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwxfHxJbmRpYSUyMEdhdGV8ZW58MHx8fHwxNzIzODAzMDM1fDA&ixlib=rb-4.0.3&q=80&w=1089,https://images.unsplash.com/photo-1685085510913-89f1c78861d8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwyfHxTdW5kZXIlMjBOdXJzZXJ5fGVufDB8fHx8MTcyMzgwMzA2Nnww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1650762960952-eb3654cc7d7c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHwzfHxTdW5kZXIlMjBOdXJzZXJ5fGVufDB8fHx8MTcyMzgwMzA2Nnww&ixlib=rb-4.0.3&q=80&w=1080,https://images.unsplash.com/photo-1657394549585-c5e31d52e77d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NDMwNDB8MHwxfHNlYXJjaHw0fHxTdW5kZXIlMjBOdXJzZXJ5fGVufDB8fHx8MTcyMzgwMzA2Nnww&ixlib=rb-4.0.3&q=80&w=1080
